accno,authormain,booktitle,publisher,publishyear,edition,volume,pages,price,status,subjectid,copy
1,JAIN & RAWAT,ENGINEERING MATHEMATICS-1,CBC,2007,,1,15.28,150,1,4,1
2,JAIN & RAWAT,ENGINEERING MATHEMATICS-1,CBC,2007,,1,15.28,150,1,4,2
3,JAIN & RAWAT,ENGINEERING MATHEMATICS -1,CBC,2007,,1,18.28,150,1,4,3
4,JAIN & RAWAT,ENGINEERING MATHEMATICS -1,CBC,2007,,1,18.28,150,1,4,4
5,JAIN & RAWAT,ENGINEERING MATHEMATICS -1,CBC,2007,,1,18.28,150,1,4,5
6,JAIN & RAWAT,ENGINEERING MATHEMATICS -1,CBC,2007,,1,18.28,150,1,4,6
7,JAIN & RAWAT,ENGINEERING MATHEMATICS -1,CBC,2007,,1,18.28,150,1,4,7
8,JAIN & RAWAT,ENGINEERING MATHEMATICS -1,CBC,2007,,1,18.28,150,1,4,8
9,JAIN & RAWAT,ENGINEERING MATHEMATICS -1,CBC,2007,,1,18.28,150,1,4,9
11,JAIN & RAWAT,ENGINEERING MATHEMATICS  -2,CBC,2007,,2,0,150,1,4,
12,JAIN & RAWAT,ENGINEERING MATHEMATICS  -2,CBC,2007,,2,0,150,1,4,2
13,JAIN & RAWAT,ENGINEERING MATHEMATICS  -2,CBC,2007,,2,0,150,1,4,3
14,JAIN & RAWAT,ENGINEERING MATHEMATICS  -2,CBC,2007,,2,0,150,1,4,4
15,JAIN & RAWAT,ENGINEERING MATHEMATICS  -2,CBC,2007,,2,0,150,1,4,5
16,JAIN & RAWAT,ENGINEERING MATHEMATICS  -2,CBC,2007,,2,0,150,1,4,6
18,JAIN & RAWAT,ENGINEERING MATHEMATICS  -2,CBC,2007,,2,0,150,1,4,8
19,JAIN & RAWAT,ENGINEERING MATHEMATICS  -2,CBC,2007,,2,0,150,1,4,9
21,JAIN & RAWAT,HIGHER ENGINEERING MATHEMATICS,CBC,2007,5,0,1016,250,1,4,
23,JAIN & RAWAT,HIGHER ENGINEERING MATHEMATICS,CBC,2007,5,0,1016,250,1,4,3
24,JAIN & RAWAT,HIGHER ENGINEERING MATHEMATICS,CBC,2007,5,0,1016,250,1,4,4
26,JAIN & RAWAT,HIGHER ENGINEERING MATHEMATICS,CBC,2007,5,0,1016,250,1,4,6
27,JAIN & RAWAT,HIGHER ENGINEERING MATHEMATICS,CBC,2007,5,0,1016,250,1,4,7
28,JAIN & RAWAT,HIGHER ENGINEERING MATHEMATICS,CBC,2007,5,0,1016,250,1,4,8
29,JAIN & RAWAT,HIGHER ENGINEERING MATHEMATICS,CBC,2007,5,0,1016,250,1,4,9
31,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
32,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,2
33,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
35,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
36,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
37,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
38,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
39,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
40,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
42,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
43,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
44,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
45,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
46,JAIN & RAWAT,DISCRET MATHEMATICAL STRECTURE,CBC,2006,3,0,0,170,1,4,
